ORD.,SIGA,GRUPO,GRUPO MATERIAL/SERVIÇO,CLASSE,CLASSE MATERIAL/SERVIÇO,"Nº TOMBO
ANTERIOR",ORIGEM anterior,"Nº TOMBO
ATUAL",ORIGEM ATUAL,NED,NF,VALOR,DESCRIÇÃO DO MATERIAL ( SISTEMA),DESCRIÇÃO RESUMIDA,QUANTIDADE,SITUAÇÃO,GALPÃO,ESTOQUE,SAÍDA,SALDO
166,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46280,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
167,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46450,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
168,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46281,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
169,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46282,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
170,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46283,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
171,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46284,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
172,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46285,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
173,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46286,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
174,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46287,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
175,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46289,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
176,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46290,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
177,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46291,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
178,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46292,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
179,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46293,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
180,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46295,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
181,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46297,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
182,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46298,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
183,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46299,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
184,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46300,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
185,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46390,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
186,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46392,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
187,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46393,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
188,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46394,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
189,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46395,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
190,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46396,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
191,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46399,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
192,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46400,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
193,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46401,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
194,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46402,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
195,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46404,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
196,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46406,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
197,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46407,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
198,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46408,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
199,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46409,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
200,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46410,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
201,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46411,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
202,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46412,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
203,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46413,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
204,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46415,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
205,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46416,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
206,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46417,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
207,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46418,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
208,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46419,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
209,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46420,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
210,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46421,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
211,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46422,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
212,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46424,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
213,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46425,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
214,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46426,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
215,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46427,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
216,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46428,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
217,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46429,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
218,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46430,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
219,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46431,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
220,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46432,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
221,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46433,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
222,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46434,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
223,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46436,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
224,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46437,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
225,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46438,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
226,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46439,STDS,,,2783,,"R$ 19,46","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
227,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46440,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
228,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46441,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
229,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46443,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
230,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46445,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
231,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46446,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
232,713094,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46447,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
233,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46448,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
234,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46452,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
235,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46453,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,0,1
236,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46454,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
237,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46455,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
238,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46456,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
239,836687,71, MOBILIÁRIOS EM GERAL,26,MOBILIÁRIOS DIVERSOS,46457,STDS,,,2783,,"R$ 17,50","CADEIRA PLASTICA, SEM BRACO, MONOBLOCO DE POLIPROPILENO, CAPACIDADE 154 KG, EMBALAGEM 1.0 UNIDADE",CADEIRA POLIPROPILENO SEM BRAÇO,1,BOM,SEAS,1,1,0
